slug,ubc_page_title,found_title,ubc_author,pub_year,ubc_description,ol_title,ol_author,ol_isbn,ol_cover,source_url
evidence-based-strategies-improving-students-social-skills,Evidence,Evidence,,,,,,,,https://www.selresources.com/sel/evidence-based-strategies-improving-students-social-skills/
teaching-mindfulness-strategies-children-adolescents,Teaching Mindfulness Strategies to Children and Adolescents,Teaching Mindfulness Strategies to Children and Adolescents,renowned scholars in the fields of mindfulness and education,,"This volume, edited by Dr. Christopher Willard, from Lesley University and Harvard Medical School and Dr. Amy Saltzman, a holistic physician and mindfulness expert, includes chapters written by renowned scholars in the fields of mindfulness and education.  Grounded in developmental and neurobiologic",,,,,https://www.selresources.com/sel/teaching-mindfulness-strategies-children-adolescents/
childrens-book-friendship-forgiveness-friendship-rules,A children’s book about friendship and forgiveness: Our Friendship Rules,A children’s book about friendship and forgiveness,,,"Our Friendship Rules, written by Peggy Moss, is a story about Alexandra, who betrays her best friend, Jenny, in her bid to be part of the cool crowd. When Alexandra sees the hurt that she has caused her friend, she manages to find a way towards reconciliation with a new set of “friendship rules”. Th",,,,,https://www.selresources.com/sel/childrens-book-friendship-forgiveness-friendship-rules/
picture-book-children-prek-2-feeling-angry-constructive-ways-deal-anger-feel-angry,A picture book for children PreK, A picture book for children PreK,,,,,,,https://www.selresources.com/sel/picture-book-children-prek-2-feeling-angry-constructive-ways-deal-anger-feel-angry/
picture-book-inspire-elementary-schoolchildren-take-action-witness-bullying,A picture book to inspire elementary schoolchildren to take action when they witness bullying,A picture book to inspire elementary schoolchildren to take action when they witness bullying,,,,,,,,https://www.selresources.com/sel/picture-book-inspire-elementary-schoolchildren-take-action-witness-bullying/
childrens-book-teaches-anger-management-using-muscle-relaxation-angry-octopus,A children’s book that teaches anger management using muscle relaxation: Angry Octopus,A children’s book that teaches anger management using muscle relaxation,,,,,,,,https://www.selresources.com/sel/childrens-book-teaches-anger-management-using-muscle-relaxation-angry-octopus/
childrens-book-finding-joy-not-perfection-ish,A children’s book on finding joy not in perfection… but in “ish”,A children’s book on finding joy not in perfection…. but in “ish”,,,,,,,,https://www.selresources.com/sel/childrens-book-finding-joy-not-perfection-ish/
book-using-restorative-practices-classrooms-better-carrots-sticks,A book about using restorative practices in classrooms: Better Than Carrots or Sticks,A book about using restorative practices in classrooms,Dominique Smith,2015,"Better Than Carrots or Sticks, written by educators Dominique Smith, Douglas Fisher, and Nancy Frey, advocates for the use of restorative practices in classrooms, and provides practical strategies for building a respectful and collaborative classroom climate where students and teachers resolve confl",Better than carrots or sticks,Dominique Smith,14618335,Https://covers.openlibrary.org/b/id/14618335-M.jpg,https://www.selresources.com/sel/book-using-restorative-practices-classrooms-better-carrots-sticks/
childrens-book-school-day-challenges-immigrant-child-far-away,A children’s book about the school,A children’s book about the school,,,,,,,,https://www.selresources.com/sel/childrens-book-school-day-challenges-immigrant-child-far-away/
20-childrens-books-diversity-body-positivity,20 Children’s Books about Diversity and Body Positivity,20 Children’s Books about Diversity and Body Positivity,,,,,,,,https://www.selresources.com/sel/20-childrens-books-diversity-body-positivity/
